127.0.0.1 - - [02/Jul/2023:17:33:32 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:52:45 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26244
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:52:47 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29110
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:52:52 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:52:57 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 11027
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:53:00 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26254
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:53:01 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29106
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:53:06 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 3272
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:53:21 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 11012
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:53:29 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29111
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:53:30 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:53:31 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:57:15 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29111
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:57:16 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29116
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:57:18 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29111
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:57:19 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1 - - [02/Jul/2023:17:57:28 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 11013
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:15 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29116
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:17 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 2613
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:20 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 11031
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:24 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29114
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:25 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 2615
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:28 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:30 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 2458
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:32 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 9361
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:32 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 3679
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:35 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 3273
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:00:47 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 9346
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:01:04 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26249
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:01:06 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 1162
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:01:09 -0300] "POST /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 10454
0:0:0:0:0:0:0:1 - - [02/Jul/2023:18:01:12 -0300] "GET /aluguel/faces/pages/imoveis.xhtml HTTP/1.1" 200 26249
