127.0.0.1 - - [28/Jun/2023:11:57:30 -0300] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:27 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:28 -0300] "GET /aluguel/faces/javax.faces.resource/images/ui-bg_glass_55_f1fbe5_1x400.png?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:11:58:29 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 3397
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:10 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29249
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:11 -0300] "GET /aluguel/faces/javax.faces.resource/scripts.js?ln=js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:12 -0300] "POST /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/pages/inquilinos.xhtml HTTP/1.1" 200 29254
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/javax.faces.resource/estilos.css?ln=css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/javax.faces.resource/theme.css?ln=primefaces-trontastic HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/javax.faces.resource/primefaces.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/javax.faces.resource/jquery/jquery-plugins.js?ln=primefaces&v=4.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2023:12:00:28 -0300] "GET /aluguel/faces/javax.faces.resource/layout/layout.css?ln=primefaces&v=4.0 HTTP/1.1" 304 -
